,TYPE,WB_A3,REGION_UN,SUBREGION,REGION_WB,WB_NAME
120,Sovereign country,MMR,Asia,South-Eastern Asia,East Asia & Pacific,Myanmar
121,Sovereign country,BGD,Asia,Southern Asia,South Asia,Bangladesh
122,Sovereign country,ADO,Europe,Southern Europe,Europe & Central Asia,Andorra
123,Sovereign country,AFG,Asia,Southern Asia,South Asia,Afghanistan
124,Sovereign country,MNE,Europe,Southern Europe,Europe & Central Asia,Montenegro
125,Sovereign country,BIH,Europe,Southern Europe,Europe & Central Asia,Bosnia and Herzegovina
126,Sovereign country,UGA,Africa,Eastern Africa,Sub-Saharan Africa,Uganda
127,Lease,XXX,Americas,Caribbean,Latin America & Caribbean,Guantanamo Bay (US)
128,Sovereign country,CUB,Americas,Caribbean,Latin America & Caribbean,Cuba
129,Sovereign country,HND,Americas,Central America,Latin America & Caribbean,Honduras
130,Sovereign country,ECU,Americas,South America,Latin America & Caribbean,Ecuador
